今回問,ページ,分野,テーマ,正解,重要語,確度,最有力種別,最有力掲載ページ,最有力URL,確認メモ,候補2種別,候補2,候補2URL,候補3種別,候補3,候補3URL
問11,P.8,システム,クライアントサーバの作業分担,ア,クライアントサーバ,中,FE公開問題,基本情報 過去問サイト内検索: クライアントサーバ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%82%B5%E3%83%BC%E3%83%90%20%E9%81%8E%E5%8E%BB%E5%95%8F,Webブラウザ処理と専用アプリ処理の比較。,FE公開問題,基本情報 過去問サイト内検索: クライアントサーバ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%82%B5%E3%83%BC%E3%83%90%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: クライアントサーバ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%88%E3%82%B5%E3%83%BC%E3%83%90%20%E9%81%8E%E5%8E%BB%E5%95%8F
問12,P.8,システム,キャパシティプランニングの作業順序,イ,キャパシティプランニング,中,FE公開問題,基本情報 過去問サイト内検索: キャパシティプランニング,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%AD%E3%83%A3%E3%83%91%E3%82%B7%E3%83%86%E3%82%A3%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F,要求把握、稼働状況把握、性能評価、見直しの順序。,FE公開問題,基本情報 過去問サイト内検索: キャパシティプランニング,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%AD%E3%83%A3%E3%83%91%E3%82%B7%E3%83%86%E3%82%A3%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: キャパシティプランニング,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%AD%E3%83%A3%E3%83%91%E3%82%B7%E3%83%86%E3%82%A3%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F
問13,P.9,コンピュータ,メモリコンパクションの時間計算,エ,メモリコンパクション,中,AP公開問題,応用情報 過去問サイト内検索: メモリコンパクション,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%81%8E%E5%8E%BB%E5%95%8F,動的再配置で空き領域を連続化する時間計算。,FE公開問題,基本情報 過去問サイト内検索: メモリコンパクション,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: メモリコンパクション,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%81%8E%E5%8E%BB%E5%95%8F
問14,P.9,ソフトウェア,OSにおけるAPI,イ,API,中,FE公開問題,基本情報 過去問サイト内検索: API,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20API%20%E9%81%8E%E5%8E%BB%E5%95%8F,アプリケーションからOS機能を利用するインタフェース。,FE公開問題,基本情報 過去問サイト内検索: API,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20API%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: API,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20API%20%E9%81%8E%E5%8E%BB%E5%95%8F
問15,P.10,法務,GPLとソースコード公開義務,ウ,GPL,高,FE公開問題,基本情報 過去問サイト内検索: GPL,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20GPL%20%E9%81%8E%E5%8E%BB%E5%95%8F,GPLソフト利用時のライセンス違反条件。,FE公開問題,基本情報 過去問サイト内検索: GPL,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20GPL%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: GPL,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20GPL%20%E9%81%8E%E5%8E%BB%E5%95%8F
問16,P.10,コンピュータ,PLLと分周器のクロック計算,エ,PLL,中,AP公開問題,応用情報 過去問サイト内検索: PLL,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20PLL%20%E9%81%8E%E5%8E%BB%E5%95%8F,発振器、PLL、分周器を組み合わせた周波数計算。,FE公開問題,基本情報 過去問サイト内検索: PLL,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20PLL%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: PLL,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20PLL%20%E9%81%8E%E5%8E%BB%E5%95%8F
問17,P.11,ヒューマンインタフェース,入力画面の設計方針,ア,入力画面設計,中,FE公開問題,基本情報 過去問サイト内検索: 入力画面設計,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%85%A5%E5%8A%9B%E7%94%BB%E9%9D%A2%E8%A8%AD%E8%A8%88%20%E9%81%8E%E5%8E%BB%E5%95%8F,ユーザビリティを高める入力画面設計。,FE公開問題,基本情報 過去問サイト内検索: 入力画面設計,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%85%A5%E5%8A%9B%E7%94%BB%E9%9D%A2%E8%A8%AD%E8%A8%88%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 入力画面設計,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%85%A5%E5%8A%9B%E7%94%BB%E9%9D%A2%E8%A8%AD%E8%A8%88%20%E9%81%8E%E5%8E%BB%E5%95%8F
問18,P.11,データベース,DBMSのスキーマ定義機能,ウ,スキーマ,中,FE公開問題,基本情報 過去問サイト内検索: スキーマ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%B9%E3%82%AD%E3%83%BC%E3%83%9E%20%E9%81%8E%E5%8E%BB%E5%95%8F,DBMSでスキーマを定める定義機能。,FE公開問題,基本情報 過去問サイト内検索: スキーマ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%B9%E3%82%AD%E3%83%BC%E3%83%9E%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: スキーマ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%82%B9%E3%82%AD%E3%83%BC%E3%83%9E%20%E9%81%8E%E5%8E%BB%E5%95%8F
問19,P.11,データベース,関係データベースの主キー,ウ,主キー,中,FE公開問題,基本情報 過去問サイト内検索: 主キー,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E4%B8%BB%E3%82%AD%E3%83%BC%20%E9%81%8E%E5%8E%BB%E5%95%8F,主キーの一意性とNULL不可の性質。,FE公開問題,基本情報 過去問サイト内検索: 主キー,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E4%B8%BB%E3%82%AD%E3%83%BC%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 主キー,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E4%B8%BB%E3%82%AD%E3%83%BC%20%E9%81%8E%E5%8E%BB%E5%95%8F
問20,P.11,データベース,RDBMSの権限付与,エ,GRANT,中,FE公開問題,基本情報 過去問サイト内検索: GRANT,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20GRANT%20%E9%81%8E%E5%8E%BB%E5%95%8F,特定利用者へ表更新権限を与えるSQL。,FE公開問題,基本情報 過去問サイト内検索: GRANT,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20GRANT%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: GRANT,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20GRANT%20%E9%81%8E%E5%8E%BB%E5%95%8F
問21,P.12,データベース,DBMSの問合せ処理手順,エ,SQL最適化,中,AP公開問題,応用情報 過去問サイト内検索: SQL最適化,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20SQL%E6%9C%80%E9%81%A9%E5%8C%96%20%E9%81%8E%E5%8E%BB%E5%95%8F,構文解析、最適化、コード生成、実行の順序。,FE公開問題,基本情報 過去問サイト内検索: SQL最適化,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20SQL%E6%9C%80%E9%81%A9%E5%8C%96%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: SQL最適化,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20SQL%E6%9C%80%E9%81%A9%E5%8C%96%20%E9%81%8E%E5%8E%BB%E5%95%8F
問22,P.12,データベース,バックアップ復旧とトランザクションログ,エ,ロールフォワード,中,FE公開問題,基本情報 過去問サイト内検索: ロールフォワード,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%AD%E3%83%BC%E3%83%AB%E3%83%95%E3%82%A9%E3%83%AF%E3%83%BC%E3%83%89%20%E9%81%8E%E5%8E%BB%E5%95%8F,バックアップリストア後にログを適用して復旧する操作。,FE公開問題,基本情報 過去問サイト内検索: ロールフォワード,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%AD%E3%83%BC%E3%83%AB%E3%83%95%E3%82%A9%E3%83%AF%E3%83%BC%E3%83%89%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: ロールフォワード,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%AD%E3%83%BC%E3%83%AB%E3%83%95%E3%82%A9%E3%83%AF%E3%83%BC%E3%83%89%20%E9%81%8E%E5%8E%BB%E5%95%8F
問23,P.13,ネットワーク,IPアドレス問合せの仕組み,ウ,DNS,高,FE公開問題,基本情報 過去問サイト内検索: DNS,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20DNS%20%E9%81%8E%E5%8E%BB%E5%95%8F,ホスト名からIPアドレスを得るDNSの役割。,FE公開問題,基本情報 過去問サイト内検索: DNS,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20DNS%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: DNS,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20DNS%20%E9%81%8E%E5%8E%BB%E5%95%8F
問24,P.13,ネットワーク,スイッチングハブの特徴,イ,レイヤ2スイッチ,中,FE公開問題,基本情報 過去問サイト内検索: レイヤ2スイッチ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%AC%E3%82%A4%E3%83%A42%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%20%E9%81%8E%E5%8E%BB%E5%95%8F,MACアドレスに基づいてフレームを転送する装置。,FE公開問題,基本情報 過去問サイト内検索: レイヤ2スイッチ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%AC%E3%82%A4%E3%83%A42%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: レイヤ2スイッチ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%AC%E3%82%A4%E3%83%A42%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%20%E9%81%8E%E5%8E%BB%E5%95%8F
問25,P.13,ネットワーク,ARPの説明,ア,ARP,高,FE公開問題,基本情報 過去問サイト内検索: ARP,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20ARP%20%E9%81%8E%E5%8E%BB%E5%95%8F,IPアドレスからMACアドレスを得るプロトコル。,FE公開問題,基本情報 過去問サイト内検索: ARP,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20ARP%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: ARP,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20ARP%20%E9%81%8E%E5%8E%BB%E5%95%8F
問26,P.14,ネットワーク,電子メールの送受信プロトコル,エ,SMTPとIMAP4,高,FE公開問題,基本情報 過去問サイト内検索: SMTPとIMAP4,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20SMTP%E3%81%A8IMAP4%20%E9%81%8E%E5%8E%BB%E5%95%8F,送信はSMTP、受信はPOP3/IMAP4を用いる。,FE公開問題,基本情報 過去問サイト内検索: SMTPとIMAP4,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20SMTP%E3%81%A8IMAP4%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: SMTPとIMAP4,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20SMTP%E3%81%A8IMAP4%20%E9%81%8E%E5%8E%BB%E5%95%8F
問27,P.14,セキュリティ,SMTPサーバの第三者中継防止,イ,第三者中継防止,高,SG関連問題,情報セキュリティマネジメント 過去問サイト内検索: 第三者中継防止,https://www.google.com/search?q=site%3Asg-siken.com/kakomon%20%E7%AC%AC%E4%B8%89%E8%80%85%E4%B8%AD%E7%B6%99%E9%98%B2%E6%AD%A2%20%E9%81%8E%E5%8E%BB%E5%95%8F,不正利用防止のためメールサーバで中継制限を行う。,FE公開問題,基本情報 過去問サイト内検索: 第三者中継防止,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E7%AC%AC%E4%B8%89%E8%80%85%E4%B8%AD%E7%B6%99%E9%98%B2%E6%AD%A2%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 第三者中継防止,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E7%AC%AC%E4%B8%89%E8%80%85%E4%B8%AD%E7%B6%99%E9%98%B2%E6%AD%A2%20%E9%81%8E%E5%8E%BB%E5%95%8F
問28,P.14,セキュリティ,共通鍵暗号方式の特徴,ウ,共通鍵暗号,高,FE公開問題,基本情報 過去問サイト内検索: 共通鍵暗号,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%85%B1%E9%80%9A%E9%8D%B5%E6%9A%97%E5%8F%B7%20%E9%81%8E%E5%8E%BB%E5%95%8F,暗号化と復号で同じ鍵を使う方式。,FE公開問題,基本情報 過去問サイト内検索: 共通鍵暗号,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%85%B1%E9%80%9A%E9%8D%B5%E6%9A%97%E5%8F%B7%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 共通鍵暗号,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%85%B1%E9%80%9A%E9%8D%B5%E6%9A%97%E5%8F%B7%20%E9%81%8E%E5%8E%BB%E5%95%8F
問29,P.15,セキュリティ,XML署名,ウ,XML署名,高,SG関連問題,情報セキュリティマネジメント 過去問サイト内検索: XML署名,https://www.google.com/search?q=site%3Asg-siken.com/kakomon%20XML%E7%BD%B2%E5%90%8D%20%E9%81%8E%E5%8E%BB%E5%95%8F,XML文書の全部または一部へ署名できる仕組み。,FE公開問題,基本情報 過去問サイト内検索: XML署名,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20XML%E7%BD%B2%E5%90%8D%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: XML署名,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20XML%E7%BD%B2%E5%90%8D%20%E9%81%8E%E5%8E%BB%E5%95%8F
問30,P.15,セキュリティ,IoTデバイスの耐タンパ性,ウ,耐タンパ性,高,SG関連問題,情報セキュリティマネジメント 過去問サイト内検索: 耐タンパ性,https://www.google.com/search?q=site%3Asg-siken.com/kakomon%20%E8%80%90%E3%82%BF%E3%83%B3%E3%83%91%E6%80%A7%20%E9%81%8E%E5%8E%BB%E5%95%8F,筐体開封などの改ざん時に秘密情報を守る実装。,FE公開問題,基本情報 過去問サイト内検索: 耐タンパ性,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E8%80%90%E3%82%BF%E3%83%B3%E3%83%91%E6%80%A7%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 耐タンパ性,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E8%80%90%E3%82%BF%E3%83%B3%E3%83%91%E6%80%A7%20%E9%81%8E%E5%8E%BB%E5%95%8F
問31,P.16,セキュリティ,フォールスネガティブ,ウ,フォールスネガティブ,高,SG関連問題,情報セキュリティマネジメント 過去問サイト内検索: フォールスネガティブ,https://www.google.com/search?q=site%3Asg-siken.com/kakomon%20%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%8D%E3%82%AC%E3%83%86%E3%82%A3%E3%83%96%20%E9%81%8E%E5%8E%BB%E5%95%8F,感染しているものを感染していないと判定する誤り。,FE公開問題,基本情報 過去問サイト内検索: フォールスネガティブ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%8D%E3%82%AC%E3%83%86%E3%82%A3%E3%83%96%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: フォールスネガティブ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%8D%E3%82%AC%E3%83%86%E3%82%A3%E3%83%96%20%E9%81%8E%E5%8E%BB%E5%95%8F
問32,P.16,セキュリティ,無線LANの不正接続防止,エ,MACアドレスフィルタリング,高,SG関連問題,情報セキュリティマネジメント 過去問サイト内検索: MACアドレスフィルタリング,https://www.google.com/search?q=site%3Asg-siken.com/kakomon%20MAC%E3%82%A2%E3%83%89%E3%83%AC%E3%82%B9%E3%83%95%E3%82%A3%E3%83%AB%E3%82%BF%E3%83%AA%E3%83%B3%E3%82%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F,許可端末だけをアクセスポイントへ接続させる設定。,FE公開問題,基本情報 過去問サイト内検索: MACアドレスフィルタリング,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20MAC%E3%82%A2%E3%83%89%E3%83%AC%E3%82%B9%E3%83%95%E3%82%A3%E3%83%AB%E3%82%BF%E3%83%AA%E3%83%B3%E3%82%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: MACアドレスフィルタリング,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20MAC%E3%82%A2%E3%83%89%E3%83%AC%E3%82%B9%E3%83%95%E3%82%A3%E3%83%AB%E3%82%BF%E3%83%AA%E3%83%B3%E3%82%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F
